1 Fitness= 45840 Best= 43050
10001 Fitness= 47710 Best= 30660
20001 Fitness= 48760 Best= 30660
30001 Fitness= 49840 Best= 30660
40001 Fitness= 49660 Best= 30660
50001 Fitness= 52760 Best= 30120
60001 Fitness= 47980 Best= 30120
70001 Fitness= 45680 Best= 30120
80001 Fitness= 44130 Best= 30120
90001 Fitness= 50670 Best= 30120
100000 Fitness= 47010 Best= 30120


=== RESULTS (last random solution) ===

Over-allocated projects (violations) :
PRJ_ID	N_ALLOC	MAX
10025	2	1
9688	2	1
9689	3	1
9306	2	1
9789	2	1
9968	5	1
9245	4	2
9976	5	1
10328	2	1
9982	4	2
9989	3	1
10249	2	1
9993	2	1
9996	2	1
10607	2	1
144	1	9667	2	2
145	1	10048	2	1
146	2	9827	10	1
147	2	9688	2	1
148	3	8646	1	1
149	5	9647	1	1
150	1	10347	7	7
151	2	9389	1	1
152	4	9827	10	1
153	4	10508	2	2
154	1	10787	1	1
155	3	9616	2	1
156	4	9613	1	1
157	3	10187	1	1
Summary details:
#violations= 38
fitness= 40890
36 students got their choice 1 project
34 students got their choice 2 project
30 students got their choice 3 project
33 students got their choice 4 project
24 students got their choice 5 project
1 Fitness= 51910 Best= 48710
10001 Fitness= 46940 Best= 33060
20001 Fitness= 48990 Best= 32800
30001 Fitness= 44860 Best= 29140
40001 Fitness= 47810 Best= 29140
50001 Fitness= 43770 Best= 29140
60001 Fitness= 44000 Best= 29140
70001 Fitness= 47800 Best= 29140
80001 Fitness= 47030 Best= 29140
90001 Fitness= 42690 Best= 29140
100000 Fitness= 50150 Best= 29140


=== RESULTS (last random solution) ===

Over-allocated projects (violations) :
PRJ_ID	N_ALLOC	MAX
10012	2	1
10013	3	1
9205	2	1
10025	2	1
9689	4	1
9787	3	2
9405	2	1
9245	5	2
9976	2	1
10062	3	1
9982	3	2
9984	2	1
9989	2	1
10248	4	1
9992	2	1
9624	5	2
9627	2	1
10527	5	1
9545	2	1
9827	7	1
9911	2	1
9912	7	1
10001	4	3
9667	3	2
Complete List of Project Allocations Made:
STUDENT	CHOICE	PRJ_ID	N_ALLOC	MAX
1	5	9306	1	1
2	1	9911	2	1
3	1	10767	1	1
4	3	9145	1	2
5	2	10327	2	4
6	2	10013	3	1
7	2	10062	3	1
8	2	9911	2	1
9	2	9205	2	1
10	5	9996	1	1
11	3	10207	1	1
12	2	10147	1	2
13	1	10607	1	1
14	3	9989	2	1
15	5	9365	1	1
16	2	9827	7	1
17	3	9912	7	1
18	5	9989	2	1
19	3	9689	4	1
20	4	9248	1	1
21	1	10667	1	1
22	4	10001	4	3
23	3	10527	5	1
24	5	10248	4	1
25	5	10088	2	4
26	4	9982	3	2
27	4	10088	2	4
28	3	10025	2	1
29	1	10347	7	7
30	2	9689	4	1
31	2	9992	2	1
32	2	9912	7	1
33	3	10007	1	1
34	2	9982	3	2
35	4	9827	7	1
36	4	10025	2	1
37	3	9245	5	2
38	1	9245	5	2
39	4	10048	1	1
40	5	10015	1	1
41	5	9787	3	2
42	3	9999	4	4
43	1	10807	1	1
44	1	9667	3	2
45	5	9265	2	4
46	1	9667	3	2
47	2	9225	1	2
48	3	9991	1	1
49	1	9545	2	1
50	5	9667	3	2
51	2	9545	2	1
52	5	9489	1	2
53	3	10547	1	1
54	5	9827	7	1
55	5	10527	5	1
56	3	9912	7	1
57	3	9206	1	1
58	3	10527	5	1
59	5	10248	4	1
60	5	9209	1	1
61	5	10248	4	1
62	2	10327	2	4
63	1	10347	7	7
64	1	10347	7	7
65	3	9728	1	2
66	5	9265	2	4
67	1	9426	4	5
68	1	9827	7	1
69	5	9624	5	2
70	5	9405	2	1
71	5	10527	5	1
72	5	10472	1	4
73	3	9624	5	2
74	1	10347	7	7
75	5	10012	2	1
76	3	10055	1	2
77	2	10064	1	2
78	2	9426	4	5
79	5	10001	4	3
80	2	10009	1	1
81	1	9999	4	4
82	2	9246	2	2
83	2	10332	1	1
84	4	8885	1	1
85	1	9689	4	1
86	1	9245	5	2
87	1	10013	3	1
88	1	10347	7	7
89	4	10127	1	4
90	5	9426	4	5
91	4	9827	7	1
92	3	9787	3	2
93	2	9627	2	1
94	1	10367	1	1
95	5	9887	2	3
96	4	10046	1	4
97	3	9827	7	1
98	5	9426	4	5
